emoji,hint,answer
🎈🎈🎈🏠,'"Adventure is out there!"' - Movie,Up (2009)
🦁👑,'"HAKUNA MATATA"' - Movie,The Lion King (1994)
❄👩‍🦰👑,Musical Fantasy film - Movie,Frozen (2013-19)
🔍🐟,'"Just Keep Swimming"' - Movie,Finding Dory (2016)
🔍🐡,A animated movie - Movie,Finding Nemo (2003)
🐀👨‍🍳,Animated - Movie,Ratatouille (2016)
⭐💥💥,A series of fantasy action movies - Movie,Star Wars
🚗🚕🚙,Animation movie - Movie,Cars (2006)
🗣+🐲,Animation movie - Movie,How to train your dragon
👩👑☃,Animation movie - Movie,Frozen (2013-19)
💀🎸,“Nothing’s more important than family.” - Movie,Coco (2017)
🥋🐼,Animation - Movie,Kung Fu Panda
⬆,Animation - Movie,Up (2009)
🐜🧔🏻,Fantasy comic superhero - Movie,Ant Man
🕷🧔🏻,Fantasy comic superhero - Movie,Spider Man
🔨⚡,Fantasy comic superhero - Movie,Thor
⬛🐯,Fantasy comic superhero - Movie,Black Panther
☢😠,Fantasy comic superhero - Movie,Hulk
🦅👁,Fantasy comic superhero - Movie,Hawkeye 
🦇🧔🏻,Fantasy comic superhero - Movie,Batman
👍🐉,Animated - Movie,The Good Dinosaur (2015)
🧜‍♀🦀,Animated - Movie,The little mermaid
👠👰‍♀👸,Animated - Movie,Cinderella (2015)
